epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1009.56,0.49832,1.17154,0.85979,0.99995,0.99999,0.995,0.99181,0.15595,0.2389,0.90897,0.00333149,0.00333149,0.00333149
2,1932.96,0.29488,0.3095,0.79906,0.99998,1,0.995,0.995,0.12127,0.18895,0.91299,0.00633492,0.00633492,0.00633492
3,2819.76,0.27244,0.26252,0.79578,0.99999,1,0.995,0.995,0.12614,0.1372,0.9327,0.00900834,0.00900834,0.00900834
4,3698.38,0.21315,0.20299,0.78735,0.99999,1,0.995,0.995,0.06398,0.09247,0.92171,0.008515,0.008515,0.008515
5,4578.92,0.17038,0.16707,0.78224,0.99999,1,0.995,0.995,0.05253,0.07673,0.92037,0.00802,0.00802,0.00802
6,5466.84,0.14907,0.14899,0.78052,0.99999,1,0.995,0.995,0.04746,0.06935,0.91892,0.007525,0.007525,0.007525
7,6356.38,0.13459,0.13687,0.77933,0.99999,1,0.995,0.995,0.0394,0.06076,0.91846,0.00703,0.00703,0.00703
8,7245.12,0.12399,0.1273,0.77867,0.99999,1,0.995,0.995,0.0359,0.05563,0.91842,0.006535,0.006535,0.006535
9,8129.04,0.11602,0.12027,0.77766,0.99999,1,0.995,0.995,0.03284,0.05171,0.91737,0.00604,0.00604,0.00604
10,9014.44,0.10922,0.11476,0.77648,0.99999,1,0.995,0.995,0.02891,0.04791,0.9169,0.005545,0.005545,0.005545
11,9835.25,0.09532,0.10598,0.77489,0.99999,1,0.995,0.995,0.02277,0.04015,0.91725,0.00505,0.00505,0.00505
12,10656.6,0.08714,0.09811,0.77403,0.99999,1,0.995,0.995,0.02177,0.03634,0.91608,0.004555,0.004555,0.004555
13,11476.3,0.08061,0.09302,0.77342,0.99999,1,0.995,0.995,0.02049,0.03524,0.91605,0.00406,0.00406,0.00406
14,12302.9,0.07547,0.08744,0.77286,1,1,0.995,0.995,0.01966,0.03337,0.91511,0.003565,0.003565,0.003565
15,13124.4,0.07068,0.08361,0.77251,1,1,0.995,0.995,0.01861,0.0313,0.91484,0.00307,0.00307,0.00307
16,13944.1,0.06587,0.07857,0.77194,1,1,0.995,0.995,0.01741,0.02964,0.9146,0.002575,0.002575,0.002575
17,14762.7,0.06174,0.0746,0.77169,1,1,0.995,0.995,0.01694,0.02993,0.91481,0.00208,0.00208,0.00208
18,15580.8,0.05777,0.07122,0.7721,1,1,0.995,0.995,0.0166,0.02891,0.91485,0.001585,0.001585,0.001585
19,16468.1,0.05406,0.06731,0.77128,1,1,0.995,0.995,0.01603,0.02794,0.91483,0.00109,0.00109,0.00109
20,17282.6,0.05061,0.06332,0.77117,1,1,0.995,0.995,0.01569,0.02846,0.91477,0.000595,0.000595,0.000595
